State,Statecode,Confirmed,Active,Recovered,Deaths,Last Updated,Latitude,Longitude
Maharashtra,MH,50231,33996,14600,1635,24/05/2020 22:25:03,19.7515,75.7139
Tamil Nadu,TN,16277,7841,8324,112,24/05/2020 19:21:03,11.1271,78.6569
Gujarat,GJ,14063,6793,6412,858,24/05/2020 20:44:03,22.2587,71.1924
Delhi,DL,13418,6617,6540,261,24/05/2020 14:29:04,28.7041,77.1025
Rajasthan,RJ,7100,3081,3856,163,25/05/2020 10:07:04,27.0238,74.2179
Madhya Pradesh,MP,6665,2967,3408,290,24/05/2020 21:44:04,22.9734,78.6569
Uttar Pradesh,UP,6268,2569,3538,161,24/05/2020 23:33:04,26.8467,80.9462
West Bengal,WB,3667,2056,1339,272,24/05/2020 20:47:03,22.9868,87.855
Andhra Pradesh,AP,2780,883,1841,56,24/05/2020 15:22:03,15.9129,79.74
State Unassigned,UN,2642,2642,0,0,25/05/2020 09:33:04,,
Bihar,BR,2574,1861,702,11,24/05/2020 23:43:03,25.0961,85.3131
Karnataka,KA,2089,1391,654,42,24/05/2020 18:23:05,15.3173,75.7139
Punjab,PB,2060,122,1898,40,24/05/2020 22:45:06,31.1471,75.3412
Telangana,TG,1854,709,1092,53,24/05/2020 21:22:05,18.1124,79.0193
Jammu and Kashmir,JK,1621,791,809,21,24/05/2020 21:11:30,33.7782,76.5762
Odisha,OR,1336,779,550,7,24/05/2020 15:32:04,20.9517,85.0985
Haryana,HR,1184,403,765,16,24/05/2020 22:13:04,29.0588,76.0856
Kerala,KL,848,322,520,6,24/05/2020 20:01:04,10.8505,76.2711
Assam,AS,428,363,58,4,25/05/2020 10:21:37,26.2006,92.9376
Jharkhand,JH,370,218,148,4,24/05/2020 22:45:07,23.6102,85.2799
Uttarakhand,UT,317,255,58,3,24/05/2020 20:44:06,30.0668,79.0193
Chandigarh,CH,262,79,179,4,24/05/2020 23:20:06,30.7333,76.7794
Chhattisgarh,CT,252,188,64,0,24/05/2020 23:33:07,21.2787,81.8661
Himachal Pradesh,HP,203,137,59,4,24/05/2020 22:23:05,31.1048,77.1734
Tripura,TR,194,29,165,0,24/05/2020 23:43:05,23.9408,91.9882
Goa,GA,66,50,16,0,24/05/2020 11:47:06,15.2993,74.124
Ladakh,LA,52,9,43,0,24/05/2020 14:52:04,34.2996,78.2932
Puducherry,PY,41,29,12,0,24/05/2020 23:01:08,11.9416,79.8083
Andaman and Nicobar Islands,AN,33,0,33,0,07/05/2020 22:24:57,11.7401,92.6586
Manipur,MN,32,30,2,0,24/05/2020 15:00:04,24.6637,93.9063
Meghalaya,ML,14,1,12,1,20/05/2020 22:48:27,25.467,91.3662
Dadra and Nagar Haveli and Daman and Diu,DN,2,1,1,0,23/05/2020 23:47:25,20.2762,73.0083
Arunachal Pradesh,AR,2,1,1,0,24/05/2020 23:43:06,28.218,94.7278
Mizoram,MZ,1,0,1,0,05/05/2020 22:32:47,23.1645,92.9376
Sikkim,SK,1,1,0,0,23/05/2020 19:42:35,27.3389,88.6065
Nagaland,NL,0,0,0,0,20/04/2020 08:45:07,26.1584,94.5624
Lakshadweep,LD,0,0,0,0,26/03/2020 07:19:29,10.076,73.6303
